codigo,valor,populacao,tipoRGF
2102309,53.94,23827,Simplificado
2102325,48.29,71723,Completo
2102358,51.12,15393,Simplificado
2102374,59.13,9382,Completo
2102408,52.97,11136,Completo
2102507,53.77,19307,Simplificado
2102556,49.72,14294,Simplificado
2102606,52.87,20076,Simplificado
2102705,62.11,21872,Simplificado
2102754,74.26,10932,Completo
2102804,50.81,24337,Simplificado
2102903,51.02,23658,Simplificado
2103000,49.47,164224,Completo
2103109,60.16,10657,Completo
2103158,47.36,13243,Simplificado
2103174,53.45,21399,Simplificado
2103208,53.64,79145,Completo
2103257,47.17,14617,Completo
2103307,51.08,122597,Completo
2103406,52.19,49246,Completo
2103505,53.88,41042,Simplificado
2103554,73.76,16072,Completo
2103604,53.27,65044,Completo
2103703,71.63,32765,Completo
2103752,50.34,12901,Completo
2103802,69.43,23328,Completo
2103901,53.57,11296,Completo
2104008,51.89,17379,Completo
2104057,52.84,41355,Completo
2104073,52.11,8481,Completo
2104099,49.36,18917,Simplificado
2104107,53.92,12615,Completo
2104206,52.13,15536,Completo
2104305,54.0,11672,Completo
2104404,45.67,17924,Completo
2104503,41.32,10793,Completo
2104552,53.58,18068,Simplificado
2104602,53.18,16772,Simplificado
2104628,50.67,7772,Completo
2104651,53.5,10211,Completo
2104677,75.63,25616,Completo
2104800,57.06,68876,Completo
2104909,53.45,12063,Completo
2105005,51.09,28498,Simplificado
2105104,51.58,26953,Completo
2105153,42.6,14026,Simplificado
2105203,52.71,11252,Simplificado
2105302,45.87,258016,Completo
2105351,53.76,15897,Completo
2105401,53.34,67673,Completo
2105427,49.6,25932,Simplificado
2105450,66.58,9993,Simplificado
2105500,51.39,23696,Simplificado
2105658,53.02,3506,Simplificado
2105708,52.44,49911,Simplificado
2105807,51.26,10808,Completo
2105906,53.86,16199,Completo
2105922,54.0,11235,Completo
2105948,65.79,8889,Completo
2105963,53.5,11320,Completo
2105989,63.0,7496,Completo
2106003,48.26,11867,Simplificado
2106102,57.62,12098,Completo
2106201,52.85,6917,Simplificado
2106300,52.94,19620,Simplificado
2106326,52.11,21201,Simplificado
2106359,59.93,7810,Completo
2106375,45.75,16013,Simplificado
2106409,59.26,16679,Simplificado
2106508,55.19,23256,Completo
2106607,52.15,33615,Completo
2106631,18.66,16451,Simplificado
2106672,46.72,8445,Completo
2106706,53.46,21000,Simplificado
2106755,53.93,28001,Completo
2106805,30.11,14913,Completo
2106904,53.87,33201,Completo
2107001,49.81,9209,Completo
